,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
9,SM15,0.6562500000000002,0.3312500000000002,1.0075000000000003,0.8126115308066949,0.4419841626121915,1.1073504413689461
5,SM11,1.2299999999999998,0.8062499999999999,1.6887499999999998,1.386695712836814,0.8617786838858337,1.8096995607006152
8,SM14,1.5074999999999998,0.9762499999999998,2.0474999999999994,1.6932734569466326,1.1190230113809099,2.163076512747526
2,SM07,1.6212499999999999,1.0437500000000002,2.2712499999999998,1.8507937486386754,1.1145907320626705,2.4620596052898476
1,SM04,1.8812499999999999,1.4449999999999998,2.3625,1.99419469962188,1.4813338583857454,2.4678533181694573
0,SM02,2.08,1.50625,2.6425,2.2363530579941977,1.6308701665062122,2.7131900044044097
6,SM12,2.08125,1.52875,2.61125,2.2262271896641637,1.6691989096569648,2.673700618992336
10,SM16,2.1075,1.5574999999999999,2.76375,2.2865804162548056,1.6026618483011317,2.9565520458804713
4,SM09,2.4125000000000005,1.9037500000000005,2.99,2.535990930583152,1.970539266292352,3.0901254019861395
7,SM13,3.4762500000000003,2.66125,4.40125,3.7014068271401888,2.7518334797003976,4.628409554047697
3,SM08,7.133749999999999,6.615,7.6525,7.173809134622973,6.635207231126997,7.672401025754585
